Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
CCl+	CCl+	NoData	InChI=1S/CCl/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CD	CD	NoData	InChI=1S/CH/h1H/i1D	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CF+	CF+	33412-11-2	InChI=1S/CF/c1-2/q+1	1132±0.55	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH	CH	3315-37-5	InChI=1S/CH/h1H	595.8±0.6	298	925	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH+	CH+	24361-82-8	InChI=1S/CH/h1H/q+1	1630.571±0.28	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Cl2	Cl2	7782-50-5	InChI=1S/Cl2/c1-2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
ClO	ClO	14989-30-1	InChI=1S/ClO/c1-2	101.22±2.1	298	1900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CL+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
ClO+	ClO+	NoData	InChI=1S/ClO/c1-2/q+1	275.2±0.37	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CN	CN	2074-87-5	InChI=1S/CN/c1-2	438.68±2	298	2800±840	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CN	CN	2074-87-5	InChI=1S/CN/c1-2	438.68±2	298	1600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C+N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CN-	CN-	57-12-5	InChI=1S/CN/c1-2/q-1	61.06±0.1	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CN+	CN+	12539-57-0	InChI=1S/CN/c1-2/q+1	213.44	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
(13)CO	CO	NoData	InChI=1S/CO/c1-2/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CO	CO	630-08-0	InChI=1S/CO/c1-2	-110.53±0.17	298	1300±390	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CO	CO	630-08-0	InChI=1S/CO/c1-2	-110.53±0.17	298	1150	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Herma Cuppen's suggestion. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CO+	CO+	NoData	InChI=1S/CO/c1-2/q+1	1247.812±0.025	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CP	CP	12326-85-1	InChI=1S/CP/c1-2	520.162±10	298	1900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C+P The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CP+	CP+	NoData	InChI=1S/CP/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CS	CS	2944-05-0	InChI=1S/CS/c1-2	278.55±3.8	298	3200±960	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CS	CS	2944-05-0	InChI=1S/CS/c1-2	278.55±3.8	298	1900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C+S The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CS+	CS+	12351-95-0	InChI=1S/CS/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CCH	C2H	2122-48-7	InChI=1S/C2H/c1-2/h1H	568.056±0.3	298	3000±900	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CCH	C2H	2122-48-7	InChI=1S/C2H/c1-2/h1H	568.056±0.3	298	2137	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2H2 - H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H+	C2H+	NoData	InChI=1S/C2H/c1-2/h1H/q+1	1697.1±0.18	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CCN	C2N	4120-02-9	InChI=1S/C2N/c1-2-3	674.474±4.4	298	2400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CN+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2N+	C2N+	NoData	InChI=1S/C2N/c1-2-3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CCO	C2O	12071-23-7	InChI=1S/C2O/c1-2-3	378.9±1.3	298	1950	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CO+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2O+	C2O+	NoData	InChI=1S/C2O/c1-2-3/q+1	1442.8±2.2	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CCP	C2P	NoData	InChI=1S/C2P/c1-2-3	NoData	NoData	4300	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2+P The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CCS	C2S	12602-41-4	InChI=1S/C2S/c1-2-3	608±20	0	2700	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C+C+S The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2S+	C2S+	NoData	InChI=1S/C2S/c1-2-3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3	C3	12075-35-3	InChI=1S/C3/c1-3-2	822.025±1.1	298	2500±750	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C3	C3	12075-35-3	InChI=1S/C3/c1-3-2	822.025±1.1	298	2400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3-	C3-	12595-80-1	InChI=1S/C3/c1-3-2/q-1	662.57±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3+	C3+	NoData	InChI=1S/C3/c1-3-2/q+1	1988.9±3	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CCP+	CCP+	NoData	InChI=1S/C2P/c1-2-3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
(1)CH2	CH2	NoData	InChI=1S/CH2/h1H2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2	CH2	2465-56-7	InChI=1S/CH2/h1H2	391.2±1.6	298	1400±420	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH2	CH2	2465-56-7	InChI=1S/CH2/h1H2	391.2±1.6	298	1050	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH2+	CH2+	15091-72-2	InChI=1S/CH2/h1H2/q+1	1399.825±0.15	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CHSi+	CHSi+	NoData	InChI=1S/CHSi/c1-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
ClO2	ClO2	17376-09-9	InChI=1S/ClO2/c1-3-2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
ClOH	ClOH	7790-92-3	InChI=1S/ClHO/c1-2/h2H	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CN2	CN2	2468-81-7	InChI=1S/CN2/c1-3-2	573.47±3.2	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CNC+	CNC+	78271-45-1	InChI=1S/C2N/c1-3-2/q+1	1623.85±6.2	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CNO	CNO	NoData	InChI=1S/CNO/c1-2-3	390.02±1.6	298	2400	0	0	1.20E+12	0	Measurements	Bibliography	Quan,D.etal.;2010;AstrophysicalJournal;725,2101-2109	H2O	 Pre-exponential factor is computed using Hasegawa et al. (1992)
CO2	CO2	124-38-9	InChI=1S/CO2/c2-1-3	-393.51±0.13	298	2600±780	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CO2	CO2	124-38-9	InChI=1S/CO2/c2-1-3	-393.51±0.13	298	2575	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CO2+	CO2+	12181-61-2	InChI=1S/CO2/c2-1-3/q+1	943.137±0.023	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CSH+	CSH+	NoData	InChI=1S/CHS/c1-2/h2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H2	C2H2	74-86-2	InChI=1S/C2H2/c1-2/h1-2H	228.2±0.15	298	2587±776.1	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C2H2	C2H2	74-86-2	InChI=1S/C2H2/c1-2/h1-2H	228.2±0.15	298	2587	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H2+	C2H2+	25641-79-6	InChI=1S/C2H2/c1-2/h1-2H/q+1	1333.918±0.193	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2HO+	C2HO+	NoData	InChI=1S/C2HO/c1-2-3/h2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCCP	C2HP	NoData	InChI=1S/C2HP/c1-2-3/h1H	NoData	NoData	4750	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of H+CCP The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2N2	C2N2	460-19-5	InChI=1S/C2N2/c3-1-2-4	309.28±0.43	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2N2+	C2N2+	37354-81-7	InChI=1S/C2N2/c3-1-2-4/q+1	1606.684±0.43	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC2N+	C2NH+	NoData	InChI=1S/C2HN/c1-2-3/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
c-C3H	C3H	132915-72-1	InChI=1S/C3H/c1-2-3-1/h1H	719.393±8	298	5200±1560	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
c-C3H	C3H	132915-72-1	InChI=1S/C3H/c1-2-3-1/h1H	719.393±8	298	2937	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2H + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3H+	C3H+	NoData	InChI=1S/C3H/c1-3-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3N	C3N	12543-75-8	InChI=1S/C3N/c1-2-3-4	NoData	NoData	3200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2N+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3N-	C3N-	NoData	InChI=1S/C3N/c1-2-3-4/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3N+	C3N+	NoData	InChI=1S/C3N/c1-2-3-4/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3O	C3O	11127-17-6	InChI=1S/C3O/c1-2-3-4	NoData	NoData	2750	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CCO+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3O+	C3O+	NoData	InChI=1S/C3O/c1-2-3-4/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3P	C3P	NoData	InChI=1S/C3P/c1-2-3-4	NoData	NoData	5900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3+P The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3S	C3S	109545-35-9	InChI=1S/C3S/c1-2-3-4	NoData	NoData	3500	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2S+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3S+	C3S+	NoData	InChI=1S/C3S/c1-2-3-4/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4	C4	NoData	InChI=1S/C4/c1-3-4-2	1055.713±8	298	3200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4-	C4-	59158-53-1	InChI=1S/C4/c1-3-4-2/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4+	C4+	NoData	InChI=1S/C4/c1-3-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2Si+	CH2Si+	NoData	InChI=1S/CH2Si/c1-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3	CH3	2229-07-4	InChI=1S/CH3/h1H3	146.7±0.08	298	1600±480	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3	CH3	2229-07-4	InChI=1S/CH3/h1H3	146.7±0.08	298	1175	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3+	CH3+	14531-53-4	InChI=1S/CH3/h1H3/q+1	1101.792±0.077	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNCO	CHNO	NoData	InChI=1S/CHNO/c2-1-3/h2H	-118.6±0.37	298	4400±1320	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HNCO	CHNO	NoData	InChI=1S/CHNO/c2-1-3/h2H	-118.6±0.37	298	2800	0	0	1.28E+12	0	Measurements	Bibliography	Quan,D.etal.;2010;AstrophysicalJournal;725,2101-2109	H2O	 Pre-exponential factor is computed using Hasegawa et al. (1992)
HNCO	CHNO	NoData	InChI=1S/CHNO/c2-1-3/h2H	-118.6±0.37	298	2850	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of OCN+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HOCO	CHO2	2564-86-5	InChI=1S/CHO2/c2-1-3/h(H,2,3)	183.97±0.55	298	2000	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2CCN	C2H2N	2932-82-3	InChI=1S/C2H2N/c1-2-3/h1H2	257.78	298	4230	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH3CN-H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH2CN+	C2H2N+	NoData	InChI=1S/C2H2N/c1-2-3/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
